,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
121,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,21,7037,-5.134078775224991,False,0.508,1
122,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,22,7920,-7.608703016811765,False,0.508,1
123,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,23,8904,-11.875337316599078,False,0.508,1
124,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial179_1.wav,0,24,10000,1.3848001228513775,False,0.508,1
125,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,0,100,2.455534643808305,True,0.508,1
126,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,1,191,3.959107120839616,True,0.508,1
127,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,2,293,4.209967167392707,True,0.508,1
128,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,3,406,6.089251300112883,True,0.508,1
129,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,4,533,0.39153648448211104,True,0.508,1
130,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,5,673,-3.1853221743689843,True,0.508,1
131,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,6,830,-2.160784628755372,True,0.508,1
132,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,7,1004,-0.4244694830817571,True,0.508,1
133,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,8,1199,-3.953749761888591,True,0.508,1
134,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,9,1416,-5.966676375552707,True,0.508,1
135,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,10,1657,2.134590509896096,True,0.508,1
136,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,11,1926,1.734560314103733,True,0.508,1
137,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,12,2226,2.4620497961013106,True,0.508,1
138,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,13,2560,2.6133032653075094,True,0.508,1
139,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,14,2932,3.5271788951708865,True,0.508,1
140,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,15,3346,5.247916942042541,True,0.508,1
141,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,16,3808,-4.656667348644169,True,0.508,1
142,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,17,4322,8.571384353883078,True,0.508,1
143,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,18,4895,-5.421246203629236,True,0.508,1
144,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,19,5534,0.8099214840257679,True,0.508,1
145,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,20,6245,-6.615047045745528,True,0.508,1
146,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,21,7037,0.9220715713659648,True,0.508,1
147,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,22,7920,-4.824378322555408,True,0.508,1
148,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,23,8904,-0.09967610392615499,True,0.508,1
149,1,2,0,f,47,2021-01-11 14:41:51.030120,Sub1_Trial63_1.wav,1,24,10000,3.2971824667834966,True,0.508,1
150,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,0,100,0.6923545840727287,False,0.861,1
151,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,1,191,4.473916019537285,False,0.861,1
